itemset,hypothesis,conclusion,rule,frequency,confidence,lift,interest,rule ID
"(110, 356)",110,356,110-->356,1.065,0.23943661971830987,0.10455747585952396,-2.05056338028169,1
"(110, 457)",457,110,457-->110,0.155,0.48387096774193544,0.45433893684688775,-0.5811290322580644,2
"(110, 590)",590,110,590-->110,0.33,0.24242424242424243,0.22762839664248116,-0.8225757575757575,3
"(260, 1196)",260,1196,260-->1196,3.02,0.3211920529801324,0.11389789112770654,-2.498807947019867,4
"(260, 1196)",1196,260,1196-->260,2.82,0.34397163120567376,0.11389789112770654,-2.6760283687943263,5
"(260, 1198)",1198,260,1198-->260,1.545,0.31067961165048547,0.10287404359287598,-2.7093203883495147,6
"(260, 1210)",260,1210,260-->1210,3.02,0.20695364238410596,0.08659148216908198,-2.1830463576158943,7
"(260, 1210)",1210,260,1210-->260,2.39,0.2615062761506276,0.08659148216908198,-2.7584937238493725,8
"(260, 1291)",1291,260,1291-->260,0.715,0.3356643356643357,0.11114713101468068,-2.684335664335664,9
"(260, 2858)",2858,260,2858-->260,0.31,0.5,0.16556291390728478,-2.52,10
"(260, 858)",858,260,858-->260,1.06,0.37735849056603776,0.12495314257153568,-2.6426415094339624,11
"(260, 1221)",1221,260,1221-->260,0.4,0.38749999999999996,0.12831125827814568,-2.6325000000000003,12
"(356, 480)",480,356,480-->356,0.15,0.5,0.2183406113537118,-1.79,13
"(356, 2028)",2028,356,2028-->356,0.735,0.23129251700680273,0.10100109912960818,-2.0587074829931975,14
"(356, 150)",150,356,150-->356,0.17,0.4411764705882352,0.19265348060621626,-1.8488235294117648,15
"(356, 318)",356,318,356-->318,2.29,0.23580786026200876,0.14378528064756632,-1.404192139737991,16
"(356, 318)",318,356,318-->356,1.64,0.32926829268292684,0.1437852806475663,-1.9607317073170731,17
"(457, 593)",457,593,457-->593,0.155,0.5161290322580645,0.3475616378842185,-0.9688709677419356,18
"(480, 589)",480,589,480-->589,0.15,0.5,0.4366812227074236,-0.645,19
"(1196, 1198)",1198,1196,1198-->1196,1.545,0.3559870550161813,0.12623654433197917,-2.4640129449838186,20
"(1196, 1240)",1240,1196,1240-->1196,0.075,1.0,0.3546099290780142,-1.8199999999999998,21
"(1196, 1270)",1270,1196,1270-->1196,0.555,0.27927927927927926,0.09903520541818414,-2.5407207207207207,22
"(1196, 2571)",1196,2571,1196-->2571,2.82,0.20212765957446807,0.06851785070320951,-2.7478723404255323,23
"(1196, 2762)",2762,1196,2762-->1196,0.075,1.0,0.3546099290780142,-1.8199999999999998,24
"(1196, 589)",589,1196,589-->1196,1.145,0.22270742358078602,0.0789742636811298,-2.5972925764192136,25
"(1198, 1270)",1270,1198,1270-->1198,0.555,0.29729729729729726,0.19242543514388172,-1.2477027027027026,26
"(1198, 1291)",1198,1291,1198-->1291,1.545,0.20064724919093851,0.28062552334396995,-0.5143527508090615,27
"(1210, 2571)",2571,1210,2571-->1210,2.95,0.22203389830508474,0.09290121267995177,-2.1679661016949154,28
"(2571, 3578)",3578,2571,3578-->2571,0.08,1.0,0.3389830508474576,-1.9500000000000002,29
"(296, 318)",296,318,296-->318,1.205,0.22406639004149378,0.13662584758627672,-1.415933609958506,30
"(4993, 5952)",4993,5952,4993-->5952,0.255,0.6274509803921569,2.670004171881519,0.39245098039215687,31
"(4993, 5952)",5952,4993,5952-->4993,0.235,0.6808510638297873,2.670004171881519,0.4258510638297873,32
"(4993, 7153)",4993,7153,4993-->7153,0.255,0.6666666666666667,2.72108843537415,0.42166666666666675,33
"(4993, 7153)",7153,4993,7153-->4993,0.245,0.6938775510204083,2.72108843537415,0.43887755102040826,34
"(5952, 7153)",7153,5952,7153-->5952,0.245,0.6122448979591837,2.605297438124186,0.3772448979591837,35
"(858, 1221)",858,1221,858-->1221,1.06,0.22641509433962262,0.5660377358490565,-0.1735849056603774,36
"(858, 1221)",1221,858,1221-->858,0.4,0.6,0.5660377358490566,-0.4600000000000001,37
"(110, 318, 356)","(110, 318)",356,"(110, 318)-->356",0.175,0.4285714285714286,0.1871490954460387,-1.8614285714285714,38
"(110, 318, 356)","(110, 356)",318,"(110, 356)-->318",0.255,0.29411764705882354,0.1793400286944046,-1.3458823529411763,39
"(110, 356, 593)","(110, 593)",356,"(110, 593)-->356",0.17,0.47058823529411764,0.20549704597996404,-1.8194117647058823,40
"(110, 356, 593)","(356, 593)",110,"(356, 593)-->110",0.28,0.2857142857142857,0.2682763246143528,-0.7792857142857142,41
"(260, 356, 1196)","(260, 356)",1196,"(260, 356)-->1196",0.255,0.3137254901960784,0.11125017382839661,-2.506274509803921,42
"(260, 356, 1196)","(356, 1196)",260,"(356, 1196)-->260",0.33,0.24242424242424243,0.08027292795504716,-2.7775757575757574,43
"(260, 356, 1210)","(356, 1210)",260,"(356, 1210)-->260",0.355,0.2394366197183099,0.07928364891334765,-2.78056338028169,44
"(260, 589, 1196)","(260, 589)",1196,"(260, 589)-->1196",0.175,0.48571428571428577,0.1722391084093212,-2.334285714285714,45
"(260, 589, 1196)","(589, 1196)",260,"(589, 1196)-->260",0.255,0.33333333333333337,0.11037527593818985,-2.6866666666666665,46
"(260, 593, 1196)","(260, 593)",1196,"(260, 593)-->1196",0.17,0.47058823529411764,0.16687526074259493,-2.349411764705882,47
"(260, 593, 1196)","(593, 1196)",260,"(593, 1196)-->260",0.165,0.48484848484848486,0.16054585591009432,-2.535151515151515,48
