32
110
590
589
4226
1221
480
608
1
2762
1222
1197
318
4993
6
858
7153
2028
6539
4886
527
593
296
1193
356
364
2571
1101
1240
648
1036
165
2858
1580
79132
1270
50
1291
912
457
4306
1198
1210
3578
260
1196
1246
1258
150
541
1610
"(32, 589)"
"(110, 590)"
"(110, 589)"
"(110, 480)"
"(110, 318)"
"(110, 2028)"
"(110, 593)"
"(110, 296)"
"(110, 356)"
"(110, 2571)"
"(110, 50)"
"(110, 457)"
"(110, 1210)"
"(590, 318)"
"(590, 296)"
"(590, 356)"
"(590, 648)"
"(590, 457)"
"(590, 150)"
"(589, 1221)"
"(589, 480)"
"(589, 318)"
"(589, 858)"
"(589, 2028)"
"(589, 593)"
"(589, 296)"
"(589, 356)"
"(589, 2571)"
"(589, 50)"
"(589, 1291)"
"(589, 457)"
"(589, 1198)"
"(589, 1210)"
"(589, 260)"
"(589, 1196)"
"(589, 1610)"
"(1221, 858)"
"(1221, 2028)"
"(1221, 2571)"
"(1221, 260)"
"(480, 2571)"
"(480, 457)"
"(608, 593)"
"(2762, 356)"
"(2762, 2571)"
"(1222, 2028)"
"(1197, 858)"
"(1197, 2028)"
"(1197, 593)"
"(1197, 356)"
"(1197, 2571)"
"(1197, 1210)"
"(1197, 260)"
"(1197, 1196)"
"(318, 2028)"
"(318, 527)"
"(318, 593)"
"(318, 296)"
"(318, 356)"
"(318, 2571)"
"(318, 50)"
"(318, 457)"
"(318, 150)"
"(4993, 7153)"
"(4993, 2571)"
"(4993, 4306)"
"(4993, 3578)"
"(4993, 1196)"
"(858, 2028)"
"(858, 527)"
"(858, 593)"
"(858, 296)"
"(858, 2571)"
"(858, 50)"
"(858, 457)"
"(858, 1210)"
"(858, 260)"
"(858, 1196)"
"(2028, 593)"
"(2028, 296)"
"(2028, 356)"
"(2028, 2571)"
"(2028, 1210)"
"(2028, 260)"
"(6539, 2571)"
"(4886, 2571)"
"(527, 50)"
"(593, 296)"
"(593, 1193)"
"(593, 356)"
"(593, 2571)"
"(593, 50)"
"(593, 457)"
"(593, 1210)"
"(593, 260)"
"(593, 1196)"
"(296, 356)"
"(296, 2571)"
"(296, 50)"
"(296, 457)"
"(296, 1210)"
"(296, 260)"
"(296, 1196)"
"(296, 150)"
"(356, 2571)"
"(356, 648)"
"(356, 1580)"
"(356, 1270)"
"(356, 50)"
"(356, 457)"
"(356, 1198)"
"(356, 1210)"
"(356, 260)"
"(356, 1196)"
"(356, 1246)"
"(2571, 648)"
"(2571, 1036)"
"(2571, 2858)"
"(2571, 1580)"
"(2571, 50)"
"(2571, 1291)"
"(2571, 457)"
"(2571, 1198)"
"(2571, 1210)"
"(2571, 3578)"
"(2571, 260)"
"(2571, 1196)"
"(648, 457)"
"(648, 1210)"
"(648, 1196)"
"(50, 457)"
"(50, 1210)"
"(50, 260)"
"(50, 1196)"
"(1291, 1198)"
"(1291, 1210)"
"(1291, 1196)"
"(457, 1210)"
"(457, 260)"
"(457, 1196)"
"(457, 150)"
"(1198, 1210)"
"(1198, 260)"
"(1198, 1196)"
"(1210, 3578)"
"(1210, 260)"
"(1210, 1196)"
"(260, 1196)"
"(260, 1610)"
"(50, 260, 296)"
"(50, 260, 593)"
"(50, 260, 1210)"
"(50, 296, 318)"
"(50, 296, 356)"
"(50, 296, 593)"
"(50, 296, 1210)"
"(50, 296, 2571)"
"(50, 318, 356)"
"(50, 318, 593)"
"(50, 356, 593)"
"(50, 356, 1210)"
"(50, 356, 2571)"
"(50, 589, 2571)"
"(50, 593, 1196)"
"(50, 593, 1210)"
"(50, 593, 2571)"
"(50, 1210, 2571)"
"(110, 296, 589)"
"(110, 356, 589)"
"(110, 356, 2571)"
"(110, 480, 589)"
"(110, 589, 2571)"
"(110, 1210, 2571)"
"(150, 318, 457)"
"(150, 318, 590)"
"(150, 457, 590)"
"(260, 296, 1210)"
"(260, 356, 1196)"
"(260, 356, 1210)"
"(260, 457, 858)"
"(260, 457, 1196)"
"(260, 457, 1210)"
"(260, 589, 1196)"
"(260, 589, 1210)"
"(260, 589, 1610)"
"(260, 589, 2571)"
"(260, 593, 1196)"
"(260, 593, 1210)"
"(260, 858, 1196)"
"(260, 858, 1210)"
"(260, 858, 1221)"
"(260, 858, 2028)"
"(260, 858, 2571)"
"(260, 1196, 1198)"
"(260, 1196, 1210)"
"(260, 1196, 2571)"
"(260, 1197, 1210)"
"(260, 1198, 1210)"
"(260, 1210, 2571)"
"(260, 1221, 2571)"
"(296, 318, 356)"
"(296, 318, 589)"
"(296, 318, 590)"
"(296, 318, 593)"
"(296, 318, 2571)"
"(296, 356, 593)"
"(296, 356, 2571)"
"(296, 589, 593)"
"(296, 589, 2571)"
"(296, 593, 1210)"
"(296, 593, 2571)"
"(296, 2028, 2571)"
"(318, 356, 590)"
"(318, 356, 593)"
"(318, 356, 2028)"
"(318, 356, 2571)"
"(318, 457, 590)"
"(318, 593, 2571)"
"(356, 589, 593)"
"(356, 589, 2571)"
"(356, 593, 1210)"
"(356, 593, 2571)"
"(356, 1196, 1210)"
"(356, 1196, 2571)"
"(356, 1210, 2571)"
"(356, 2028, 2571)"
"(457, 480, 589)"
"(457, 858, 1210)"
"(457, 1196, 1210)"
"(457, 1210, 2571)"
"(480, 589, 2571)"
"(589, 593, 2571)"
"(589, 858, 1221)"
"(589, 1196, 1210)"
